# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = unimode2_symmetric_Dirichtlet_2_ordered_bins_model
# start_datetime = 2024-03-04 01:58:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.900000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/unimode/03-03-2024.22.57UM.json
# init = 2 (Default)
# random
#   seed = 10000
# output
#   file = models/notebooks/results/03-03-2024.22.57UM-results.csv
#   diagnostic_file = models/notebooks/results/03-03-2024.22.57UM-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 31
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,a_j.14,a_j.15,a_j.16,a_j.17,a_j.18,a_j.19,a_j.20,a_j.21,a_j.22,a_j.23,w_j_mode.1,w_j_mode.2,w_j_mode.3,w_j_mode.4,w_j_mode.5,w_j_mode.6,w_j_mode.7,w_j_mode.8,w_j_mode.9,w_j_mode.10,w_j_mode.11,w_j_mode.12,w_j_mode.13,w_j_mode.14,w_j_mode.15,w_j_mode.16,w_j_mode.17,w_j_mode.18,w_j_mode.19,w_j_mode.20,w_j_mode.21,w_j_mode.22,w_j_mode.23,w_j_mode.24,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,a_b.14,a_b.15,a_b.16,a_b.17,a_b.18,a_b.19,a_b.20,a_b.21,a_b.22,a_b.23,w_b_mode.1,w_b_mode.2,w_b_mode.3,w_b_mode.4,w_b_mode.5,w_b_mode.6,w_b_mode.7,w_b_mode.8,w_b_mode.9,w_b_mode.10,w_b_mode.11,w_b_mode.12,w_b_mode.13,w_b_mode.14,w_b_mode.15,w_b_mode.16,w_b_mode.17,w_b_mode.18,w_b_mode.19,w_b_mode.20,w_b_mode.21,w_b_mode.22,w_b_mode.23,w_b_mode.24,theta.1,theta.2,theta.3,y5.1,y5.2,y20.1,y20.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,p_j.15,p_j.16,p_j.17,p_j.18,p_j.19,p_j.20,p_j.21,p_j.22,p_j.23,p_j.24,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14,p_b.15,p_b.16,p_b.17,p_b.18,p_b.19,p_b.20,p_b.21,p_b.22,p_b.23,p_b.24
# Adaptation terminated
# Step size = 0.00454718
# Diagonal elements of inverse mass matrix:
# 0.821657, 0.964168, 0.150738, 0.125222, 0.144391, 0.987094, 1.42739, 1.11384, 1.81534, 1.1288, 1.36535, 0.577324, 0.835256, 1.14082, 0.890907, 0.884475, 1.07092, 1.15896, 1.10692, 1.68707, 1.107, 1.32713, 1.08972, 564.34, 470.89, 626.375, 531.074, 639.499, 360.433, 674.985, 324.596, 430.392, 472.699, 513.851, 247.56, 550.164, 679.432, 979.049, 622.987, 689.777, 448.437, 467.521, 511.851, 475.274, 591.758, 559.086, 0.923387, 0.791113, 0.520257, 0.686797, 1.44574, 0.760222, 1.21188, 1.07085, 2.68631, 0.923049, 1.38438, 0.891061, 0.808208, 1.2761, 1.04584, 2.37263, 0.977574, 1.38023, 1.09083, 0.200803, 0.463499, 0.222395, 0.0316269, 628.582, 506.055, 679.976, 450.535, 436.081, 414.894, 605.463, 943.143, 503.346, 422.52, 494.434, 792.251, 12.2875, 323.46, 616.554, 703.493, 690.217, 488.403, 526.668, 507.547, 56.2322, 648.225, 625.344, 0.125769, 0.290453
-6096,0.997022,0.00454718,9,1023,0,6152.9,0.571742,1.22166,1.00422,0.610567,0.363693,0.407962,0.179051,0.338486,0.309496,0.0109082,0.340905,0.209236,0.580535,0.0632618,0.413852,0.114749,0.286836,0.278031,0.252943,0.184803,0.785442,0.298117,0.277502,1.50628e-14,7.46798e-37,9.85292e-18,8.07141e-11,1.00998e-09,3.01555e-14,0.446365,0.0584768,0.018509,0.000739183,0.455747,0.0059497,0.00368652,7.09945e-15,0.000969183,2.84998e-14,1.16945e-17,0.00907923,0.0001116,0.000327176,6.01264e-10,2.93221e-15,2.38403e-29,3.93544e-05,0.219187,0.0789224,0.443186,0.309042,1.4633,0.42445,0.113826,0.45364,0.353825,0.343801,0.241699,0.386768,0.279518,0.0542149,0.0524966,0.484638,0.186039,0.289682,0.198614,0.648953,0.245455,0.354399,0.917442,0.0012602,2.20217e-14,4.26334e-06,1.8389e-17,4.63232e-11,8.96295e-12,0.000467724,0.0117144,0.000641074,5.58158e-13,4.72037e-12,0.000260644,0.352086,2.27457e-06,2.22906e-11,6.87122e-37,0.00158246,1.11449e-21,0.0991219,0.0716878,0.461172,6.02627e-09,5.12544e-10,4.1359e-25,0.159937,0.514346,0.325717,0.0137564,0.107544,0.00925498,0.0850242,0.00171835,0.0030438,0.0103271,0.0281905,0.0519122,0.0746825,0.112304,0.107544,0.101523,0.104539,0.104823,0.0753452,0.0614428,0.0348778,0.0328308,0.0222384,0.0200456,0.0156656,0.0118895,0.00925498,0.00769426,0.00351297,0.00261122,0.00198325,0.000994774,0.00108674,0.00113238,0.00152943,0.00198006,0.00806083,0.0122986,0.0137564,0.019493,0.0266298,0.0367806,0.0464542,0.0678711,0.0610943,0.0603461,0.0597907,0.0624137,0.0671596,0.0792777,0.0850242,0.112457,0.0879804,0.0617266,0.0246622
-6093.72,0.834014,0.00454718,9,580,1,6136.25,0.182443,0.695681,1.44599,0.705373,0.853777,0.180647,0.244158,0.255078,0.0304666,0.00619738,0.134091,0.475661,0.301073,0.231416,0.288486,0.836382,0.216005,0.472305,0.742573,0.355867,0.220305,0.620167,0.829765,3.32604e-05,1.72869e-50,4.47932e-18,4.88141e-07,0.00513971,8.086e-23,0.662038,0.000661336,0.2535,6.35144e-05,6.59604e-05,1.01086e-12,3.17518e-06,7.53901e-11,6.45803e-13,0.00217231,1.16306e-18,7.60353e-09,0.0762918,1.25062e-05,6.55655e-10,1.84103e-05,1.895e-11,2.39136e-13,0.130532,0.36307,1.02951,1.15921,0.330069,1.10565,0.657713,0.20851,0.385754,0.32304,0.354689,0.338312,0.209626,0.645909,0.134299,0.222133,0.541938,0.140568,0.235429,0.391483,0.168685,0.534665,1.31785,1.82139e-11,3.98119e-32,1.55255e-13,4.74057e-08,1.91769e-09,2.04314e-13,2.01996e-09,2.05057e-13,2.30704e-09,0.064106,1.29218e-05,0.000408731,0.303269,0.000207425,5.61855e-06,0.134514,4.03216e-05,1.80056e-22,1.30833e-06,9.82392e-05,0.497336,1.22509e-22,2.32429e-08,1.22757e-11,0.229385,0.445367,0.325248,0.0205325,0.105282,0.0106527,0.0788836,0.002156,0.00258264,0.00516172,0.0218947,0.0443259,0.101607,0.121524,0.105282,0.0949928,0.0922025,0.0916454,0.0804161,0.0511153,0.0389604,0.0320821,0.0258904,0.018389,0.0186605,0.0223757,0.0106527,0.0074648,0.00599047,0.003222,0.00140528,0.000173127,0.000197267,0.000283619,0.000794045,0.0025309,0.00352064,0.0106365,0.0205325,0.0252928,0.0371986,0.0433332,0.0553586,0.0733054,0.0662077,0.0619866,0.0643308,0.0608233,0.0648866,0.0689567,0.0788836,0.10548,0.0891069,0.0522047,0.0139758
-6110.25,0.992727,0.00454718,9,1023,0,6150.43,0.583663,0.995358,0.424397,1.39758,0.441796,0.379832,0.505351,0.688246,0.176271,0.159737,0.252832,0.446364,0.447513,0.0231513,0.514997,0.208455,0.725672,0.376493,0.438845,0.48816,0.887428,0.245786,0.282204,4.05509e-05,1.86923e-76,2.77152e-20,9.8852e-14,0.00635512,3.87024e-10,0.46127,0.00148529,2.42162e-10,0.395358,0.108979,7.0047e-14,6.98864e-20,1.28399e-05,9.13574e-09,9.1653e-34,0.00368874,0.000452827,1.6763e-17,0.00469555,0.0130978,8.97763e-18,4.77788e-05,0.00451642,0.0097277,0.348701,0.509044,0.177375,1.14209,0.66203,0.118148,0.163435,0.0785294,0.64999,0.192935,0.419327,0.621534,0.141366,0.039668,0.409086,0.0697504,0.402439,0.220767,0.423323,0.23672,0.232501,1.65559,3.65034e-05,1.49632e-10,9.53602e-17,0.00121225,5.94284e-05,5.62087e-12,2.14553e-13,2.40421e-22,4.95532e-06,5.80373e-08,1.59898e-23,1.11545e-18,0.433976,3.19004e-25,0.000110085,7.15855e-23,1.08787e-22,1.56149e-30,9.62355e-09,8.76665e-12,0.564601,6.52159e-24,2.61442e-14,5.72528e-07,0.131383,0.484579,0.384038,0.0184781,0.101884,0.00695603,0.080205,0.00199135,0.0035446,0.00956413,0.0146167,0.0591202,0.0902658,0.131043,0.101884,0.104103,0.112362,0.100917,0.0784902,0.0505038,0.0327122,0.0319971,0.0199155,0.0166887,0.0093433,0.00760885,0.00695603,0.00667263,0.00348911,0.00317237,0.00303766,0.00108453,0.00109495,0.0015451,0.00256353,0.00295671,0.00853434,0.0164279,0.0184781,0.0217464,0.0235178,0.0450062,0.0545775,0.0829976,0.0582729,0.0560503,0.0556283,0.0563393,0.0573878,0.0691343,0.080205,0.113036,0.0892094,0.0707029,0.013503
-6110.27,0.976979,0.00454718,8,509,1,6164.06,0.670867,0.885747,0.423229,1.35457,0.422373,0.394673,0.446189,0.569558,0.147977,0.133082,0.255276,0.413043,0.423989,0.0234979,0.449516,0.206422,0.668461,0.35446,0.424651,0.522066,0.950196,0.251399,0.28371,1.96477e-06,7.684e-78,1.91689e-22,2.03585e-11,0.0769021,7.26077e-10,0.477481,0.00383379,1.78912e-08,0.246957,0.187606,1.33385e-14,5.84933e-20,5.54682e-05,2.15315e-12,4.03168e-34,0.000749003,0.000135704,4.85469e-18,0.00534045,0.000888425,2.49116e-21,9.12254e-06,4.06687e-05,0.00970371,0.307144,0.512846,0.185681,1.218,0.713232,0.105325,0.191872,0.0755188,0.660926,0.185084,0.410691,0.581438,0.129354,0.0362888,0.334684,0.0704514,0.379351,0.199032,0.406626,0.256189,0.228516,1.6698,8.86977e-05,3.51943e-12,3.07226e-15,0.000153777,8.2637e-05,1.19417e-12,1.2297e-13,4.12714e-21,8.41056e-06,3.7667e-06,2.93061e-22,2.86914e-18,0.438765,1.63097e-26,0.000463071,8.14691e-22,1.63944e-22,1.94056e-31,1.71331e-09,3.02781e-12,0.560434,1.13592e-24,1.47803e-14,6.63473e-07,0.129423,0.493114,0.377463,0.0179644,0.104856,0.00529487,0.0799238,0.00270638,0.00529206,0.0128311,0.0195915,0.0759185,0.0974403,0.133376,0.104856,0.0980866,0.101529,0.0958977,0.0743364,0.0492776,0.0323951,0.0316543,0.0204283,0.0167828,0.00910171,0.00685601,0.00529487,0.00329837,0.00128396,0.00100368,0.000761676,0.000895346,0.000903632,0.00121437,0.00201017,0.00240266,0.00793774,0.0161702,0.0179644,0.0217611,0.023467,0.0454346,0.0546708,0.0824331,0.0608129,0.0589913,0.0586541,0.0591648,0.0601089,0.0705108,0.0799238,0.109571,0.0848078,0.0674827,0.0127064
-6108.12,0.987625,0.00454718,10,1023,0,6151.14,0.661541,0.86187,1.3971,0.650456,0.272197,0.395017,0.161285,0.407504,0.742679,0.366545,0.298515,0.752039,0.471832,0.0500729,0.429097,0.563926,0.312676,0.652451,0.278977,0.390291,0.247708,0.4,0.253767,8.05552e-20,2.52373e-64,0.000232146,0.02762,1.18575e-07,2.48613e-11,0.477398,2.59456e-10,1.97471e-12,0.0162243,0.000403387,0.467686,0.0102415,3.94858e-16,1.13096e-10,2.94997e-13,8.88098e-18,1.44178e-09,8.37431e-20,9.00831e-11,1.03191e-10,4.24378e-30,0.000194902,1.17468e-10,0.116779,1.2032,1.11982,1.78818,0.529702,0.47258,0.0456642,0.280209,0.16641,0.0968226,0.0934322,0.299278,0.293677,0.171287,0.157805,0.295911,0.333248,0.0272535,0.305282,0.552517,0.229668,0.532297,1.0675,0.000129514,5.41965e-14,0.000227348,7.53704e-09,0.0166878,1.05804e-16,3.97669e-16,0.152439,2.06409e-10,7.62264e-12,3.82373e-17,7.78454e-40,0.361923,2.89021e-12,1.1602e-11,7.20207e-08,1.70917e-09,1.19066e-34,3.19349e-07,3.15334e-19,0.468593,5.46633e-18,9.36117e-11,1.15748e-11,0.145573,0.22964,0.624787,0.0442848,0.104918,0.00370591,0.0623306,0.00215006,0.00416634,0.00986416,0.039507,0.0635957,0.0809927,0.117427,0.104918,0.0849408,0.0845722,0.0986894,0.119897,0.0582262,0.0363259,0.034552,0.0224983,0.0128042,0.00936926,0.00488868,0.00370591,0.00252213,0.00198144,0.0013549,0.00105123,0.000364525,0.000396493,0.00116873,0.00324379,0.0191594,0.0279473,0.0424407,0.0442848,0.0457728,0.0483494,0.05046,0.0529453,0.0641534,0.0540994,0.0504438,0.0483907,0.0477787,0.0521466,0.0527514,0.0623306,0.0955276,0.0759251,0.0445873,0.0153322
-6104.43,0.994297,0.00454718,8,293,1,6153.51,0.434223,0.797851,1.33198,0.61765,0.273354,0.213258,0.204897,0.439086,0.625419,0.237697,0.39242,0.603843,0.439765,0.0366449,0.533403,0.318038,0.327383,0.775298,0.163349,0.212972,0.310325,0.867598,0.199119,1.59553e-19,8.99177e-60,1.13427e-07,1.54297e-09,3.44646e-07,1.64969e-12,0.543483,6.45853e-07,5.96718e-12,0.111839,0.344325,4.69199e-05,7.89642e-07,7.65497e-11,1.96963e-06,3.47121e-07,4.13835e-18,0.000300618,3.14947e-19,3.46699e-16,1.52947e-17,3.12318e-31,1.05584e-06,7.40344e-14,0.070241,1.20329,0.883833,1.09835,0.771369,0.172332,0.046031,0.450436,0.369922,0.146897,0.142768,0.31598,0.309576,0.216787,0.161987,0.150395,0.625203,0.0211217,0.20714,0.48331,0.234573,0.422547,1.01882,1.41284e-06,2.03552e-10,2.78155e-07,4.43431e-09,6.81415e-06,3.1205e-14,1.82368e-16,0.129517,0.00574874,5.37034e-13,2.81386e-19,1.20681e-36,0.434307,4.8691e-05,2.39247e-14,2.64697e-11,2.35157e-07,1.71364e-35,5.77086e-10,1.1354e-11,0.430369,3.04011e-18,2.19628e-21,1.77674e-12,0.153563,0.211973,0.634464,0.0382263,0.111797,0.00303325,0.0611056,0.0032254,0.00497925,0.0110577,0.0418925,0.0776923,0.102116,0.126389,0.111797,0.0958629,0.105602,0.109052,0.0736645,0.0402813,0.0259595,0.0250268,0.0147018,0.0107173,0.00775438,0.00357146,0.00303325,0.00245144,0.00179748,0.000755128,0.000618792,0.000548424,0.00058825,0.00195788,0.00473782,0.0142094,0.0307279,0.0365066,0.0382263,0.0402858,0.0474548,0.0520401,0.0575735,0.0741991,0.0601352,0.0537994,0.050734,0.0490835,0.0541595,0.0546788,0.0611056,0.0870251,0.0688289,0.0451088,0.0162853
