# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = unimode2_symmetric_Dirichtlet_2_ordered_bins_logsumexp_model
# start_datetime = 2024-03-04 03:24:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.900000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/unimode/04-03-2024.00.23UM.json
# init = 2 (Default)
# random
#   seed = 30
# output
#   file = models/notebooks/results/04-03-2024.00.23UM-results.csv
#   diagnostic_file = models/notebooks/results/04-03-2024.00.23UM-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,a_j.14,a_j.15,a_j.16,a_j.17,a_j.18,a_j.19,a_j.20,a_j.21,a_j.22,a_j.23,w_j_mode.1,w_j_mode.2,w_j_mode.3,w_j_mode.4,w_j_mode.5,w_j_mode.6,w_j_mode.7,w_j_mode.8,w_j_mode.9,w_j_mode.10,w_j_mode.11,w_j_mode.12,w_j_mode.13,w_j_mode.14,w_j_mode.15,w_j_mode.16,w_j_mode.17,w_j_mode.18,w_j_mode.19,w_j_mode.20,w_j_mode.21,w_j_mode.22,w_j_mode.23,w_j_mode.24,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,a_b.14,a_b.15,a_b.16,a_b.17,a_b.18,a_b.19,a_b.20,a_b.21,a_b.22,a_b.23,w_b_mode.1,w_b_mode.2,w_b_mode.3,w_b_mode.4,w_b_mode.5,w_b_mode.6,w_b_mode.7,w_b_mode.8,w_b_mode.9,w_b_mode.10,w_b_mode.11,w_b_mode.12,w_b_mode.13,w_b_mode.14,w_b_mode.15,w_b_mode.16,w_b_mode.17,w_b_mode.18,w_b_mode.19,w_b_mode.20,w_b_mode.21,w_b_mode.22,w_b_mode.23,w_b_mode.24,theta.1,theta.2,theta.3,y5.1,y5.2,y20.1,y20.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,p_j.15,p_j.16,p_j.17,p_j.18,p_j.19,p_j.20,p_j.21,p_j.22,p_j.23,p_j.24,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14,p_b.15,p_b.16,p_b.17,p_b.18,p_b.19,p_b.20,p_b.21,p_b.22,p_b.23,p_b.24
# Adaptation terminated
# Step size = 0.00384471
# Diagonal elements of inverse mass matrix:
# 0.98363, 0.382731, 0.117818, 0.0507404, 0.657835, 0.872106, 1.21485, 1.85273, 1.42656, 1.73689, 1.33875, 0.523917, 0.732644, 0.80652, 0.705549, 1.50304, 1.4823, 1.00928, 1.17636, 1.2431, 1.37729, 0.85924, 1.03522, 635.234, 436.298, 423.313, 526.162, 579.498, 590.225, 531.293, 225.132, 692.398, 520.828, 739.568, 495.198, 502.219, 546.958, 596.658, 423.131, 622.253, 763.816, 666.492, 671.915, 650.278, 574.157, 627.984, 1.13715, 1.25917, 1.54842, 1.22284, 1.027, 1.28062, 1.21371, 1.17351, 1.44262, 1.41946, 1.19406, 1.3279, 1.62006, 1.70288, 1.80564, 1.2768, 1.12854, 1.10476, 0.366603, 0.967436, 1.43614, 0.28858, 0.0431693, 620.424, 303.31, 552.51, 537.84, 462.506, 522.284, 543.453, 477.248, 455.975, 562.575, 481.839, 519.312, 517.299, 570.505, 569.498, 637.674, 439.473, 633.476, 627.29, 458.003, 204.97, 507.911, 641.308, 0.133693, 0.393888
-6105.33,0.959322,0.00384471,10,1023,0,6160.19,0.607057,0.86845,1.53924,0.923806,0.364008,0.344279,0.100251,0.349725,0.334822,0.0227148,0.118423,0.553718,0.2381,0.10085,0.803608,0.171246,0.000660427,0.82792,0.791564,0.0146083,0.0300708,0.457732,0.0569494,0.000737157,1.47438e-17,8.82151e-14,1.20522e-26,5.64338e-15,1.61047e-34,2.76447e-10,0.811885,1.18612e-07,0.0379726,0.131973,0.000142572,2.06822e-08,2.78736e-16,0.0170686,0.000214453,7.96863e-23,3.49175e-06,8.78497e-14,2.8952e-06,2.27191e-14,5.96384e-10,1.65444e-27,9.5777e-22,0.419637,0.341392,0.0713984,1.22971,0.958583,0.0833318,0.0764334,0.463279,0.45361,0.108167,0.179385,0.221436,0.300869,0.0241709,0.256447,0.0637859,0.265743,0.166495,0.100779,0.22663,0.0413393,0.266759,1.59014,2.37436e-28,1.51313e-07,2.00759e-33,9.16309e-08,2.0148e-33,0.0192621,0.0023035,1.33923e-07,1.86914e-12,2.10915e-06,2.20046e-06,0.381613,6.71574e-06,4.88303e-16,0.0236482,4.67963e-05,0.00963638,2.56637e-54,2.94463e-24,4.9572e-55,1.4356e-06,0.563477,3.0666e-07,1.42843e-09,0.224887,0.438549,0.336564,0.0216949,0.141324,0.00258862,0.0712037,0.00161408,0.00246151,0.00545127,0.0250142,0.062967,0.0906093,0.127843,0.141324,0.108511,0.0896958,0.0885587,0.07891,0.0466684,0.0377211,0.0346041,0.0155227,0.0130799,0.0130712,0.00571176,0.00258862,0.00255108,0.00247551,0.0015663,0.00147959,0.000946825,0.00144051,0.00202663,0.00217661,0.0074444,0.019415,0.0205681,0.0216949,0.0315324,0.0478187,0.0530152,0.0630343,0.0577758,0.0551618,0.0551702,0.055891,0.0566365,0.0616947,0.0670615,0.0712037,0.0832384,0.085875,0.065768,0.0134099
-6096.01,0.998092,0.00384471,10,1023,0,6162.69,0.730885,0.686962,0.845021,1.34636,0.771865,0.0525443,0.124508,0.368378,0.0501311,0.550974,0.444255,0.644765,0.659386,0.0326038,0.0880397,0.221699,0.129425,0.108435,0.0549077,1.08702,0.0286365,0.671605,0.221113,1.0773e-54,6.93575e-26,7.32017e-14,2.48877e-06,7.77024e-24,2.23544e-25,0.0196897,0.498142,0.0018086,6.27405e-20,3.74224e-11,0.407107,1.24541e-07,0.00746048,3.49121e-20,1.65628e-21,2.44583e-06,9.2927e-08,7.73057e-11,2.08579e-19,0.0657144,1.15971e-22,1.30223e-10,7.25381e-05,0.627305,0.209023,0.0981162,0.508607,0.492134,0.697531,0.331211,0.630017,0.431031,0.0773137,0.629373,0.434011,0.198729,0.157248,0.0467364,0.168165,0.152169,0.195167,0.0899653,0.342824,0.183543,0.458205,0.913615,1.49309e-44,1.324e-11,1.71317e-08,3.78514e-09,5.19531e-29,0.00301996,1.07131e-14,0.00127703,0.000979896,4.06507e-05,2.96406e-24,0.0214996,0.0208885,0.0704631,0.0696935,1.06251e-12,1.20358e-07,1.66608e-06,7.8009e-32,7.70108e-55,5.57534e-12,0.811417,0.000708954,1.00981e-05,0.45966,0.415323,0.125017,0.00608374,0.108734,0.0193844,0.0877967,0.0011489,0.00238617,0.00474292,0.0110416,0.042434,0.0918181,0.0967716,0.108734,0.0897533,0.0881284,0.084358,0.100238,0.0538977,0.030404,0.029586,0.027532,0.0232741,0.0213303,0.0199784,0.0193844,0.0185004,0.0179786,0.00919768,0.00738072,0.000402556,0.00075381,0.00092905,0.00102483,0.00170425,0.00278782,0.00453797,0.00608374,0.0107188,0.0160786,0.0173229,0.0321184,0.0464637,0.0546628,0.0598869,0.060936,0.0658312,0.0718642,0.082066,0.0877967,0.116624,0.137469,0.0870285,0.0349078
-6094.48,0.957452,0.00384471,8,496,1,6135.04,0.704029,0.53719,0.89358,1.15037,0.570158,0.0761874,0.1414,0.601058,0.0801926,0.261439,0.45688,0.693706,0.505037,0.0198857,0.166538,0.261234,0.156765,0.11448,0.0979216,0.617044,0.0262207,1.02358,0.371352,7.13279e-47,5.18155e-24,1.02257e-11,0.00361653,2.69831e-20,1.29647e-22,0.0217926,0.47334,7.48548e-08,3.2421e-16,3.44226e-13,0.458492,2.00617e-06,4.76334e-06,9.05565e-14,4.28948e-21,1.22706e-09,6.00671e-09,1.65784e-11,1.87455e-28,0.0427518,8.33471e-30,3.99043e-13,1.61895e-08,0.567763,0.322403,0.0669541,0.425779,0.521161,0.981072,0.462637,1.13598,0.340186,0.0696486,0.524163,0.278508,0.447819,0.095927,0.0377924,0.193848,0.2291,0.14206,0.108268,0.380756,0.209345,0.287381,0.935243,6.60565e-46,1.83694e-10,7.81143e-07,1.03305e-12,4.163e-31,1.05503e-05,1.3199e-13,7.02669e-06,0.00103342,0.0468026,2.33464e-28,1.80006e-06,6.7087e-05,0.139539,0.0324128,5.50413e-13,5.39874e-05,3.96689e-06,2.95687e-27,3.62754e-57,3.15373e-14,0.77969,7.49207e-09,0.000377164,0.407951,0.464694,0.127356,0.00522886,0.108432,0.0180002,0.0832129,0.00201015,0.00406428,0.00695476,0.0169965,0.0501436,0.0882051,0.0951537,0.108432,0.0855073,0.0849004,0.0867191,0.104512,0.0530572,0.0331848,0.0326043,0.028228,0.0229053,0.0204846,0.0190384,0.0180002,0.0151616,0.0147692,0.00530668,0.00366056,0.000184336,0.000325228,0.000448958,0.000480022,0.000734663,0.00123704,0.00329286,0.00522886,0.0162764,0.0227251,0.0231972,0.0306156,0.0378395,0.0559659,0.0577482,0.0582909,0.0624045,0.0703136,0.0770452,0.0832129,0.113249,0.136471,0.102407,0.0403059
-6080.83,0.994911,0.00384471,10,1023,0,6128.32,0.149368,0.88625,1.6972,1.23845,0.469083,0.0696711,0.402884,0.275887,0.183082,0.137357,0.0338197,0.261447,0.638831,0.0517003,0.540927,0.532376,0.0811624,0.169842,0.0304977,0.269182,0.944833,0.606606,0.933549,2.01411e-39,2.9753e-09,2.3498e-13,2.62488e-10,6.20405e-18,1.99029e-14,0.257279,0.106668,0.24962,3.43579e-08,0.221399,0.0568095,8.92759e-09,0.000538264,0.0060887,3.74224e-23,0.0369604,3.13922e-07,2.78278e-05,5.99131e-20,0.0636676,4.80556e-12,0.000941174,1.65243e-10,0.206769,0.218817,0.140044,0.480062,0.529567,0.310421,0.58871,0.326118,0.276255,0.0312898,0.397876,0.40696,0.998369,0.809732,0.149255,0.382807,0.905509,0.999438,0.312193,0.0708753,0.113619,0.531399,1.23766,1.37617e-35,3.78484e-06,4.74254e-08,0.00851637,1.4344e-27,3.1468e-18,1.18122e-15,3.76782e-13,1.41526e-10,2.71761e-14,1.23261e-16,2.963e-11,0.0564695,0.21073,0.000570984,7.43207e-12,0.0672776,0.11169,0.000168004,2.45102e-58,1.11141e-10,0.501965,0.0426077,1.32203e-06,0.454048,0.398895,0.147058,0.00936324,0.093752,0.021806,0.109637,0.000954247,0.00110798,0.00268797,0.0146726,0.0506244,0.0809245,0.0867637,0.093752,0.0981919,0.0922503,0.0898354,0.0874826,0.0684225,0.0396991,0.0382034,0.0270083,0.0239041,0.0231137,0.0219478,0.021806,0.0214255,0.00847525,0.00484271,0.00190394,0.0017509,0.00215307,0.00267936,0.00308194,0.00325363,0.00433662,0.00551708,0.00936324,0.0128031,0.0167731,0.0172974,0.0256387,0.038439,0.073844,0.0524999,0.0525158,0.0579869,0.0724895,0.088171,0.109637,0.115915,0.12721,0.0826647,0.0239786
-6079.4,0.939853,0.00384471,10,1023,0,6134.86,0.343537,0.712683,0.695841,1.05054,0.595946,0.271095,0.0765844,0.375344,0.274192,0.256961,0.110248,0.548396,0.295717,0.361734,0.612517,0.325849,1.36003,0.600287,0.992558,0.298782,0.0895933,0.473888,0.354288,6.02154e-14,3.28685e-08,5.68327e-18,1.16761e-07,0.00406542,1.94504e-05,7.10244e-11,0.552231,7.66738e-14,2.10452e-10,0.33042,0.018686,1.03406e-15,1.64736e-18,6.8648e-07,5.82186e-19,7.71911e-09,0.0596063,0.000138478,0.0348326,2.40213e-17,2.12842e-13,8.63166e-12,1.37686e-13,0.206835,0.0141406,0.892152,0.626251,0.660912,0.403707,0.517975,0.0247457,0.59804,0.145427,0.432665,0.428429,0.441891,0.0797408,0.564187,0.336865,0.042747,0.0297042,0.359055,0.773942,0.676509,0.295055,1.3398,4.24921e-25,5.74495e-11,0.00308166,5.06335e-21,1.2854e-16,1.7651e-22,3.27745e-06,1.00382e-22,8.16527e-16,2.92726e-09,2.04281e-21,1.09228e-06,2.83276e-14,0.336397,8.05401e-24,1.88776e-09,1.84429e-11,1.80522e-16,2.0742e-06,4.30797e-38,0.526928,0.11245,0.0198929,0.00124327,0.323417,0.496691,0.179891,0.00920623,0.118091,0.0136021,0.0822516,0.00283968,0.00400373,0.00816542,0.0163749,0.0468191,0.0836907,0.109445,0.118091,0.0991059,0.0942404,0.0961518,0.0868657,0.0509549,0.0385927,0.0280086,0.0180396,0.0157085,0.0244435,0.0157713,0.0136021,0.010089,0.00922439,0.0057429,0.00402963,0.000983778,0.00120983,0.00122706,0.00134085,0.00206236,0.00374053,0.00552452,0.00920623,0.00943505,0.0171123,0.0197851,0.0304806,0.046773,0.0727555,0.0698469,0.0612511,0.0655757,0.0666422,0.0674549,0.0822516,0.15504,0.106218,0.0819598,0.0221227
-6079.91,0.971275,0.00384471,8,353,1,6129.29,0.82816,0.910091,0.989688,1.48355,0.253232,0.301429,0.0837294,0.305695,0.700211,0.806871,0.317375,0.38537,0.363006,1.0076,0.712162,0.362882,0.330085,0.606023,0.285704,0.639511,0.210894,0.543847,0.397149,1.76625e-06,2.67803e-15,2.33579e-18,2.27837e-08,2.65336e-05,1.27558e-12,5.61064e-22,0.48521,0.0265337,4.68548e-09,0.389303,1.18838e-06,5.35021e-17,8.67837e-15,8.96941e-14,8.36295e-19,8.6861e-08,4.38272e-11,2.46771e-05,0.00335573,0.0919812,2.33874e-12,0.00356247,9.66068e-15,0.315206,0.01476,0.652859,0.729112,1.34436,0.182565,0.365428,0.0825452,0.506904,0.150314,0.755573,0.431822,0.125649,0.080348,0.638758,0.202998,0.0168202,0.0813949,0.304918,0.183531,0.539263,0.316586,1.30064,6.63746e-28,3.36068e-09,9.99341e-09,3.08785e-13,7.09202e-08,1.79242e-12,2.44399e-06,1.72421e-24,3.75899e-16,0.00163134,6.26702e-26,8.2241e-07,8.9601e-11,0.3436,7.62267e-25,5.52968e-16,3.95614e-13,2.53171e-21,3.1068e-06,6.48261e-33,0.36516,0.289574,6.29186e-06,2.25054e-05,0.330854,0.514033,0.155113,0.00939987,0.119079,0.014287,0.0920298,0.0009334,0.00213476,0.00530299,0.0142667,0.0628954,0.0810173,0.109515,0.119079,0.10004,0.0817669,0.112939,0.0823312,0.0561781,0.0393203,0.0154769,0.00959525,0.00863142,0.00875316,0.0115652,0.014287,0.0240415,0.0196774,0.0121107,0.0081412,0.000255756,0.000350524,0.000355736,0.000683374,0.00141679,0.00543436,0.00652282,0.00939987,0.0102086,0.0169475,0.0196078,0.0413229,0.063534,0.0720208,0.0698133,0.0677138,0.0727615,0.073311,0.0762661,0.0920298,0.105549,0.100921,0.073536,0.0200382
