# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_gp1_no_correlation_parallel_model
# start_datetime = 2024-03-01 10:29:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/gp/1D01-03-2024.07.28hs.json
# init = 2 (Default)
# random
#   seed = 10000
# output
#   file = models/notebooks/results/1D01-03-2024.07.28hs-results.csv
#   diagnostic_file = models/notebooks/results/1D01-03-2024.07.28hs-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y8.1,y8.2,yj_remain.1,yj_remain.2,yj_remain.3,yj_remain.4,yj_remain.5,yj_remain.6,yj_remain.7,yj_remain.8,yj_remain.9,yj_remain.10,yj_remain.11,yj_remain.12,yj_remain.13,yb_remain.1,yb_remain.2,yb_remain.3,yb_remain.4,yb_remain.5,yb_remain.6,yb_remain.7,yb_remain.8,yb_remain.9,yb_remain.10,yb_remain.11,yb_remain.12,yb_remain.13,theta.1,theta.2,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14
# Adaptation terminated
# Step size = 0.00067277
# Diagonal elements of inverse mass matrix:
# 0.235893, 0.141447, 0.137806, 0.130996, 0.137676, 0.139175, 0.126518, 0.139045, 0.172399, 0.190852, 0.188924, 0.189249, 0.19926, 0.21262, 0.22919, 0.242915, 0.23771, 0.232248, 0.227536, 0.271127, 0.297892, 0.257967, 0.187021, 0.172475, 0.212104, 0.234796, 0.213824, 0.180791, 0.135063
-1089.88,0.795132,0.00067277,14,16383,0,1111.84,-3.96246,-1.48735,-6.69477,-3.36157,-1.96829,-1.43114,-1.72364,-1.93099,-2.24099,-3.00243,-4.55257,-6.91858,-10.0129,-14.5012,-24.3566,-11.1114,-7.43824,-5.89528,-4.87902,-3.19097,-2.72743,-2.53416,-2.48844,-2.44075,-2.18148,-1.76159,-1.64797,-2.55154,0.797304,0.202696,-6.69477,-3.36157,-1.96829,-1.43114,-1.48735,-1.72364,-1.93099,-2.24099,-3.00243,-4.55257,-6.91858,-10.0129,-14.5012,-24.3566,-11.1114,-7.43824,-5.89528,-4.87902,-3.96246,-3.19097,-2.72743,-2.53416,-2.48844,-2.44075,-2.18148,-1.76159,-1.64797,-2.55154
-1091.73,0.991807,0.00067277,13,16383,0,1103.2,-3.83297,-1.69287,-6.50039,-3.44258,-2.32323,-1.81549,-1.8035,-2.15244,-2.84495,-3.83733,-5.05784,-6.71175,-9.3634,-14.0344,-24.4299,-10.5936,-7.04035,-5.64808,-4.74064,-3.06212,-2.64238,-2.55229,-2.64081,-2.66231,-2.44188,-2.16573,-2.26381,-3.35842,0.765785,0.234215,-6.50039,-3.44258,-2.32323,-1.81549,-1.69287,-1.8035,-2.15244,-2.84495,-3.83733,-5.05784,-6.71175,-9.3634,-14.0344,-24.4299,-10.5936,-7.04035,-5.64808,-4.74064,-3.83297,-3.06212,-2.64238,-2.55229,-2.64081,-2.66231,-2.44188,-2.16573,-2.26381,-3.35842
-1093.26,0.997916,0.00067277,13,16383,0,1109.44,-3.46894,-1.61572,-6.37991,-3.24591,-2.03302,-1.56257,-1.88004,-2.04751,-2.32169,-3.2835,-5.08532,-7.34919,-9.98601,-13.9961,-23.6175,-11.0249,-7.16185,-5.36022,-4.25063,-2.94065,-2.65294,-2.49302,-2.33603,-2.08414,-1.71749,-1.39659,-1.37971,-2.28944,0.823425,0.176575,-6.37991,-3.24591,-2.03302,-1.56257,-1.61572,-1.88004,-2.04751,-2.32169,-3.2835,-5.08532,-7.34919,-9.98601,-13.9961,-23.6175,-11.0249,-7.16185,-5.36022,-4.25063,-3.46894,-2.94065,-2.65294,-2.49302,-2.33603,-2.08414,-1.71749,-1.39659,-1.37971,-2.28944
-1094.97,0.969765,0.00067277,13,8191,0,1106.28,-4.49644,-1.28287,-6.48973,-3.19243,-1.79117,-1.21902,-1.59933,-1.85767,-2.20621,-3.09343,-4.81596,-7.41282,-10.8675,-15.6737,-25.5031,-11.4325,-7.99349,-6.55586,-5.5016,-3.49859,-2.65527,-2.19433,-2.12539,-2.17352,-1.99676,-1.54883,-1.30317,-2.16038,0.794357,0.205643,-6.48973,-3.19243,-1.79117,-1.21902,-1.28287,-1.59933,-1.85767,-2.20621,-3.09343,-4.81596,-7.41282,-10.8675,-15.6737,-25.5031,-11.4325,-7.99349,-6.55586,-5.5016,-4.49644,-3.49859,-2.65527,-2.19433,-2.12539,-2.17352,-1.99676,-1.54883,-1.30317,-2.16038
-1089.09,0.989945,0.00067277,13,8191,0,1107.93,-3.6852,-1.28752,-6.4014,-3.14472,-1.83214,-1.27183,-1.57445,-1.86528,-2.24847,-3.1161,-4.79053,-7.19896,-10.2415,-14.698,-24.5922,-11.2605,-7.35472,-5.35317,-4.168,-3.54958,-3.36383,-3.04056,-2.68971,-2.35729,-1.97226,-1.60924,-1.64834,-2.72899,0.805358,0.194642,-6.4014,-3.14472,-1.83214,-1.27183,-1.28752,-1.57445,-1.86528,-2.24847,-3.1161,-4.79053,-7.19896,-10.2415,-14.698,-24.5922,-11.2605,-7.35472,-5.35317,-4.168,-3.6852,-3.54958,-3.36383,-3.04056,-2.68971,-2.35729,-1.97226,-1.60924,-1.64834,-2.72899
-1097.28,0.97872,0.00067277,13,8191,0,1122.29,-3.52778,-1.26561,-6.84202,-3.5832,-2.13273,-1.38786,-1.44068,-1.6372,-1.98815,-2.86184,-4.54388,-7.06789,-10.4065,-15.1825,-25.3288,-11.4552,-7.76438,-5.92756,-4.56788,-2.90247,-2.68546,-2.75446,-2.90497,-2.7604,-2.09926,-1.33553,-1.23169,-2.44973,0.844855,0.155145,-6.84202,-3.5832,-2.13273,-1.38786,-1.26561,-1.44068,-1.6372,-1.98815,-2.86184,-4.54388,-7.06789,-10.4065,-15.1825,-25.3288,-11.4552,-7.76438,-5.92756,-4.56788,-3.52778,-2.90247,-2.68546,-2.75446,-2.90497,-2.7604,-2.09926,-1.33553,-1.23169,-2.44973
