# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_dirichlet_model
# start_datetime = 2024-03-01 20:04:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.900000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/dirichlet/1D01-03-2024.17.03Dr.json
# init = 2 (Default)
# random
#   seed = 0
# output
#   file = models/notebooks/results/1D01-03-2024.17.03Dr-results.csv
#   diagnostic_file = models/notebooks/results/1D01-03-2024.17.03Dr-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14,theta.1,theta.2
# Adaptation terminated
# Step size = 0.0396874
# Diagonal elements of inverse mass matrix:
# 0.268873, 0.141979, 0.0239345, 0.0152947, 0.0356757, 0.0771784, 0.167355, 7.77174, 12.2156, 137.987, 4883.22, 42529.5, 50539.4, 30078.3, 518.341, 6.54159, 1.75563, 1.34599, 0.495271, 0.370945, 0.160419, 0.0596221, 0.0935448, 0.0697433, 0.0714971, 0.232317, 0.0445972
-1373.57,0.947481,0.0396874,4,27,1,1389.29,0.0172312,0.0164881,0.141941,0.210234,0.318864,0.19007,0.0794722,0.0187469,0.00590756,0.00104549,1.24334e-14,6.85746e-148,6.54305e-221,2.38535e-17,1.49855e-133,1.45484e-05,0.000834881,0.0493224,0.0204152,0.0643553,0.103067,0.217479,0.167656,0.0920905,0.080498,0.0833767,0.0837103,0.0371796,0.593226,0.406774
-1374.26,0.915019,0.0396874,3,13,1,1390.83,0.0152437,0.0178994,0.143306,0.211895,0.327754,0.179704,0.0818918,0.0158624,0.00525225,0.00119165,1.58451e-19,5.10262e-122,7.87719e-221,9.86131e-15,1.13461e-138,1.89588e-07,0.000722787,0.0418797,0.0240239,0.0693855,0.117623,0.210506,0.172257,0.0909803,0.0767494,0.0786181,0.0818648,0.0353896,0.601667,0.398333
-1374.83,0.967125,0.0396874,5,35,1,1386.89,0.0157662,0.019443,0.149866,0.207436,0.320526,0.179754,0.082157,0.0182352,0.00635002,0.000466909,2.93502e-18,8.50273e-89,3.708e-186,8.24094e-16,7.79221e-126,0.000277927,0.00207781,0.0406734,0.021584,0.0854916,0.110354,0.241162,0.155173,0.080092,0.0719755,0.0764179,0.074279,0.0404417,0.619406,0.380594
-1375.78,0.92132,0.0396874,3,13,1,1387.38,0.0141892,0.0202226,0.144338,0.211436,0.324443,0.17396,0.0845426,0.0214045,0.00499851,0.000465256,1.6814e-15,4.31994e-121,3.61786e-178,3.05793e-20,3.99598e-114,0.000355503,0.000948191,0.0392148,0.0216085,0.0821711,0.113138,0.26054,0.157377,0.0778671,0.0680107,0.0662833,0.0733658,0.0391197,0.617425,0.382575
-1375.87,0.950957,0.0396874,4,29,1,1387.99,0.0150164,0.0195954,0.144136,0.21723,0.318179,0.179467,0.0746036,0.0273628,0.00368496,0.000724189,4.75796e-16,9.13624e-138,8.61303e-200,5.30647e-15,1.49694e-125,0.00147467,0.00188317,0.0493195,0.0329099,0.0667038,0.115992,0.249527,0.16328,0.0739392,0.0757383,0.0610487,0.0712868,0.0368969,0.612925,0.387075
-1374.63,0.975907,0.0396874,5,50,1,1389.05,0.014321,0.0289468,0.140695,0.221315,0.299238,0.195828,0.0538451,0.0257611,0.0174009,0.00265041,4.12303e-23,3.74203e-135,5.73057e-182,7.01782e-14,3.54074e-112,1.49736e-07,0.00163602,0.0195737,0.00924449,0.0430153,0.134224,0.211573,0.183585,0.0848291,0.107796,0.0830873,0.0822816,0.0391548,0.636438,0.363562
-1375.37,0.967153,0.0396874,5,35,1,1383.93,0.00914956,0.0294309,0.145201,0.23564,0.287635,0.19426,0.056021,0.0326805,0.00881333,0.00116953,1.81927e-17,1.03463e-99,1.24929e-138,4.60307e-14,2.51228e-100,0.00614696,0.0016988,0.0135173,0.00731439,0.0299358,0.109832,0.230053,0.17313,0.0976119,0.131058,0.078599,0.0875189,0.0335841,0.623223,0.376777
-1375.81,0.831137,0.0396874,5,47,1,1387.66,0.0108313,0.0198295,0.140264,0.251234,0.274567,0.190417,0.0780784,0.0220916,0.0118217,0.000866214,4.24391e-16,1.52758e-96,2.57027e-155,6.94398e-16,4.80488e-146,3.77379e-12,0.000576364,0.00492149,0.00493578,0.0392762,0.104954,0.23065,0.151999,0.12032,0.131712,0.0831978,0.081356,0.0461012,0.631368,0.368632
