# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_unimode2_symmetric_Dirichtlet_model
# start_datetime = 2024-03-01 20:09:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.900000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 10
# id = 1 (Default)
# data
#   file = models/unimode/1D01-03-2024.17.09UM.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = models/notebooks/results/1D01-03-2024.17.09UM-results.csv
#   diagnostic_file = models/notebooks/results/1D01-03-2024.17.09UM-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,w_j_mode.1,w_j_mode.2,w_j_mode.3,w_j_mode.4,w_j_mode.5,w_j_mode.6,w_j_mode.7,w_j_mode.8,w_j_mode.9,w_j_mode.10,w_j_mode.11,w_j_mode.12,w_j_mode.13,w_j_mode.14,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,w_b_mode.1,w_b_mode.2,w_b_mode.3,w_b_mode.4,w_b_mode.5,w_b_mode.6,w_b_mode.7,w_b_mode.8,w_b_mode.9,w_b_mode.10,w_b_mode.11,w_b_mode.12,w_b_mode.13,w_b_mode.14,theta.1,theta.2,y5.1,y5.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14
# Adaptation terminated
# Step size = 0.0249046
# Diagonal elements of inverse mass matrix:
# 0.183739, 0.0447023, 0.083849, 1.82475, 1.32389, 1.79349, 0.519002, 0.177429, 0.464927, 0.820297, 1.07927, 0.893196, 0.985438, 161.309, 186.972, 192.475, 5.14318, 117.951, 86.4539, 155.595, 187.932, 241.764, 190.482, 237.103, 209.011, 243.374, 1.79465, 1.15362, 0.826644, 1.06831, 1.01436, 1.33966, 1.51348, 1.13645, 1.79246, 1.33062, 1.29015, 0.955201, 1.09426, 102.131, 139.13, 138.104, 320.899, 218.788, 273.575, 129.714, 115.413, 260.299, 297.771, 166.478, 280.919, 262.89, 1.16449
-1273.48,0.980684,0.0249046,5,61,1,1300.66,1.88897,0.932962,0.539718,0.0933221,0.0256373,0.0393913,0.180297,0.723702,0.950499,0.129773,0.22398,0.880472,0.00444859,1.87265e-12,0.000598776,5.12309e-08,0.938214,0.00637155,6.6988e-14,0.000460157,3.7035e-05,0.0114455,0.0344544,1.69089e-17,0.00841867,5.17511e-08,9.51372e-11,0.0700126,0.784447,0.394591,0.12472,0.0638277,0.688189,0.150204,0.33759,0.412508,0.34016,0.21407,0.32971,0.177108,0.00299253,2.51717e-15,0.109659,4.79516e-11,1.0014e-09,1.80703e-14,3.80183e-07,0.0145767,2.60297e-18,1.1242e-10,0.0805265,0.0102483,8.56517e-11,0.781996,0.939273,0.060727,0.030035,0.146365,0.00558155,0.0369085,0.0933496,0.160045,0.146365,0.142782,0.13746,0.115676,0.0607448,0.0312781,0.0278356,0.0229696,0.00952291,0.00948064,0.0147325,0.0156837,0.0330134,0.030001,0.030035,0.0302331,0.0407033,0.0453176,0.0578516,0.0824066,0.113099,0.13227,0.172729,0.201925
-1269.6,0.981075,0.0249046,6,99,1,1292.3,1.22228,0.823042,0.56165,0.122978,0.0342716,0.106296,0.157937,0.430924,0.955564,0.17182,0.137299,0.32965,0.0041451,2.6932e-12,0.000336718,2.24274e-07,0.900024,0.0455952,2.50333e-12,0.00198389,7.11462e-08,2.40705e-05,2.50679e-06,8.95011e-12,0.000160869,0.035548,0.0163243,0.181108,0.500801,0.152755,0.117004,0.0985364,0.285352,0.0557102,0.114032,0.484351,0.115916,0.0996111,0.37229,0.254898,0.00010773,4.90797e-13,8.16727e-07,9.59379e-07,2.80338e-08,8.11799e-11,0.0041706,0.22319,5.39576e-23,5.144e-05,0.0410493,0.73139,1.45145e-10,3.94198e-05,0.940161,0.0598395,0.0522276,0.139417,0.0115053,0.0390593,0.0887503,0.155571,0.139417,0.134813,0.121518,0.104163,0.0690033,0.0315406,0.0285885,0.026841,0.0246506,0.0245775,0.0201842,0.0241835,0.0398839,0.0464628,0.0522276,0.0576343,0.0766621,0.0809942,0.084146,0.11051,0.120384,0.128963,0.0888791,0.0688843
-1269.52,0.994551,0.0249046,7,127,0,1300.82,1.08459,1.18677,0.97109,0.211052,0.299699,0.0649695,0.446357,0.63186,0.125294,0.316895,0.226347,0.187546,0.0812867,8.26408e-10,0.000185562,1.61573e-06,0.748871,9.11232e-06,4.3552e-21,9.2534e-08,0.247462,1.84221e-05,0.00135138,0.00210148,1.11081e-15,2.40733e-09,5.47795e-08,0.505692,0.632518,0.0588596,0.457751,0.150859,0.142508,0.300765,0.415187,0.068908,0.00526969,0.333324,0.324852,0.831914,0.00257136,3.06389e-05,0.000445104,1.32825e-07,5.99482e-07,2.41711e-12,0.706334,1.47918e-05,1.08614e-11,0.016237,1.17746e-09,6.58907e-09,0.274366,1.76359e-13,0.963434,0.0365655,0.089324,0.152681,0.00704832,0.0208506,0.0680559,0.179662,0.152681,0.12587,0.121623,0.105627,0.0564806,0.0499437,0.0365573,0.0291523,0.024167,0.0222802,0.0178859,0.0287885,0.053509,0.0567121,0.089324,0.103806,0.119654,0.0972645,0.0806402,0.0792864,0.0791732,0.0763894,0.0819154,0.0356509
-1268.84,0.934043,0.0249046,5,35,1,1299.89,1.0149,1.20182,0.79847,0.307789,0.516925,0.364447,0.231731,0.718958,0.19178,0.233095,0.301725,0.0680467,0.12668,0.00987419,5.2805e-05,3.93813e-08,0.64991,1.68317e-06,5.80717e-23,0.0120004,0.276344,4.93991e-05,0.00379521,0.047484,6.26209e-07,6.93694e-06,0.000480663,0.344547,0.96181,0.167472,0.776805,0.08809,0.161572,0.348671,0.831626,0.164396,0.0018525,0.0935577,0.372862,0.672905,0.00756061,4.89595e-08,0.278178,0.35774,6.72076e-09,4.08435e-10,0.250997,1.19676e-06,3.40395e-06,0.000101618,2.89862e-07,1.09585e-10,0.105418,4.16334e-17,0.899015,0.100985,0.102374,0.146325,0.0151981,0.0273855,0.0843559,0.186265,0.146325,0.109373,0.101538,0.102486,0.0547471,0.0476235,0.0409838,0.0303473,0.0283624,0.0250102,0.0437915,0.0598058,0.151974,0.156909,0.102374,0.100502,0.0990893,0.0724818,0.0410528,0.0386999,0.0386794,0.0378148,0.0376273,0.0191984
-1271.65,0.915013,0.0249046,6,89,1,1293.95,1.64904,0.931295,0.745577,0.410439,0.0416579,0.0256783,0.437659,0.51568,0.559956,0.0765834,0.629146,0.160564,0.194102,2.81319e-15,0.00403431,1.01692e-08,0.740919,0.0647257,1.83383e-21,0.139007,6.54682e-07,0.0291016,0.00168013,1.56465e-07,1.35983e-10,0.000652975,0.0198782,0.618971,0.102302,1.36545,0.388829,0.0716004,0.629278,0.773097,0.103666,0.147754,0.0198988,1.46416,0.759186,0.564956,0.0030599,2.51895e-13,9.12423e-07,4.16457e-11,3.38622e-14,0.0683766,1.21746e-05,0.290573,0.449506,2.44469e-07,1.1422e-09,6.61044e-05,0.188405,1.05836e-08,0.962622,0.0373776,0.0479608,0.141839,0.00688696,0.0358259,0.0872118,0.1827,0.141839,0.138168,0.136025,0.0902943,0.058504,0.0348907,0.0326014,0.0200542,0.0182851,0.0167146,0.00528727,0.00815487,0.00889403,0.0325949,0.0479608,0.0515056,0.0756376,0.149656,0.152971,0.133989,0.131664,0.0635579,0.0880696,0.0500575
-1265.49,0.984257,0.0249046,6,89,1,1289.68,1.37633,1.00326,0.718322,0.362685,0.112905,0.150822,0.386845,0.595837,0.639162,0.0561221,0.263028,0.137738,0.105196,1.40685e-15,1.51076e-08,1.21211e-08,0.539823,0.20974,6.26585e-19,0.136095,7.59587e-08,0.0393921,0.0128484,1.47213e-08,6.23647e-07,0.0620424,5.87875e-05,0.177027,0.271412,0.464979,0.389463,0.0483791,0.530955,0.630223,0.058903,0.104593,0.0258814,0.387763,0.52125,1.21229,0.000142314,2.01537e-11,9.6465e-05,2.03782e-10,4.40657e-11,0.00879414,2.00163e-08,0.289431,0.00404836,5.66335e-10,7.88171e-12,1.36162e-07,0.697487,1.51973e-07,0.969657,0.0303431,0.0331558,0.146112,0.00736114,0.0291526,0.079504,0.163062,0.146112,0.135795,0.124697,0.0886662,0.0581807,0.0380564,0.0368564,0.0327274,0.0314854,0.0283439,0.00905429,0.0107949,0.0141443,0.0224753,0.0331558,0.0347975,0.0574096,0.106561,0.107522,0.110016,0.110818,0.132139,0.193533,0.0575791
