# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_unimode2_symmetric_Dirichtlet_model
# start_datetime = 2024-03-01 20:17:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/unimode/1D01-03-2024.17.17UM.json
# init = 2 (Default)
# random
#   seed = 10000
# output
#   file = models/notebooks/results/1D01-03-2024.17.17UM-results.csv
#   diagnostic_file = models/notebooks/results/1D01-03-2024.17.17UM-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,w_j_mode.1,w_j_mode.2,w_j_mode.3,w_j_mode.4,w_j_mode.5,w_j_mode.6,w_j_mode.7,w_j_mode.8,w_j_mode.9,w_j_mode.10,w_j_mode.11,w_j_mode.12,w_j_mode.13,w_j_mode.14,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,w_b_mode.1,w_b_mode.2,w_b_mode.3,w_b_mode.4,w_b_mode.5,w_b_mode.6,w_b_mode.7,w_b_mode.8,w_b_mode.9,w_b_mode.10,w_b_mode.11,w_b_mode.12,w_b_mode.13,w_b_mode.14,theta.1,theta.2,y5.1,y5.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14
# Adaptation terminated
# Step size = 0.0106634
# Diagonal elements of inverse mass matrix:
# 0.18636, 0.027501, 0.119264, 0.94369, 0.600756, 0.409182, 0.32662, 0.0595155, 0.12328, 0.463883, 0.586158, 2.35305, 0.49881, 26002.5, 1060.84, 3794.6, 1.48762, 1222.1, 1448.01, 9791.6, 4287.97, 3933.22, 1649.03, 6068.5, 5155.09, 2867.51, 0.773967, 0.746423, 0.445226, 2.33343, 0.856909, 1.17935, 1.48229, 1.10498, 2.18971, 0.541479, 0.204045, 1.33112, 0.225795, 1601.29, 2204.55, 8220.47, 1198.94, 3390.13, 2213.79, 1442.63, 18289.7, 3788.07, 7194.62, 2739.45, 4899.83, 1405.89, 0.0801589
-1229.27,0.589282,0.0106634,3,9,1,1254.22,1.45138,0.96224,0.829746,0.0691102,0.184474,0.146545,0.25686,1.01722,0.7629,0.185545,0.266883,0.506712,0.598,1.21478e-17,1.41356e-31,1.68317e-16,0.9978,3.05911e-10,1.67976e-56,2.26832e-57,1.00976e-06,3.91735e-116,4.84614e-30,2.46581e-09,1.98587e-45,3.2887e-06,0.00219522,0.723567,0.346668,0.12798,0.0975914,0.139272,0.497807,0.404743,1.14928,1.41006,0.175187,0.968566,0.012648,0.367247,2.25744e-15,0.00699413,2.6131e-24,8.42371e-08,2.17338e-08,7.14713e-107,5.90992e-39,4.159e-140,8.75912e-25,3.68167e-10,3.72586e-43,7.23616e-09,0.993006,2.22045e-15,0.900175,0.0998252,0.00329998,0.186449,0.00779814,0.0332904,0.0871394,0.199788,0.186449,0.155046,0.133917,0.103594,0.0375322,0.0176423,0.0147216,0.0113901,0.00716082,0.00453121,0.00142025,0.00292824,0.00303516,0.0031657,0.00329998,0.00354647,0.00503784,0.00716306,0.0217219,0.0885971,0.105552,0.277996,0.281534,0.195002
-1231.08,0.735754,0.0106634,8,262,1,1251.83,1.05184,0.947708,0.604427,0.118761,0.156501,0.303805,0.161829,0.920641,0.941009,0.321458,0.151528,0.607774,0.442516,1.17865e-07,2.53881e-28,3.42602e-12,0.995475,1.01633e-23,3.30613e-60,6.9481e-15,3.91101e-23,3.92896e-128,2.89985e-27,0.00452505,4.31885e-66,7.74662e-27,9.51333e-08,0.755335,1.00041,0.133816,0.301437,0.120326,0.942372,1.32451,0.564754,0.230219,0.204006,0.636399,0.0231682,0.221325,2.1594e-12,9.86815e-08,0.00047703,5.1817e-08,1.59079e-33,1.93323e-105,4.96406e-45,1.41021e-91,8.57721e-28,5.87007e-35,3.53844e-53,0.995349,0.0041737,1.19947e-14,0.902455,0.0975446,0.00416288,0.179678,0.0149674,0.0428503,0.110545,0.202319,0.179678,0.153669,0.113457,0.0965396,0.0387126,0.0157897,0.0119757,0.0102918,0.00560454,0.00360048,0.000477325,0.0010159,0.00276255,0.00312636,0.00416288,0.00467669,0.011853,0.044479,0.0782308,0.0984811,0.120767,0.228205,0.223022,0.178742
-1231.36,0.805254,0.0106634,5,33,1,1262.05,1.04689,1.03034,0.581379,0.136133,0.147059,0.22779,0.135598,0.935617,0.962146,0.37533,0.166093,0.599737,0.426743,9.65568e-12,5.76036e-28,8.78441e-13,0.995589,4.94024e-24,2.37394e-57,8.46108e-15,5.32152e-24,9.9781e-128,2.1867e-23,0.00439548,6.09182e-64,8.82414e-23,1.57389e-05,0.686658,1.14856,0.133925,0.199744,0.0955904,0.795654,1.06427,0.373539,0.344623,0.183373,0.60706,0.0242214,0.228857,1.74996e-15,1.02244e-11,9.86221e-22,0.0664235,2.06557e-37,1.40162e-100,2.95029e-43,8.1569e-101,7.68267e-22,1.56466e-32,3.72945e-53,2.94422e-06,0.933574,1.88738e-15,0.908401,0.0915993,0.0183063,0.173715,0.0139413,0.0397154,0.111283,0.19903,0.173715,0.149978,0.119463,0.104341,0.0411826,0.0163822,0.0118381,0.0100271,0.00550704,0.00359737,0.00276202,0.00548831,0.0173082,0.0197886,0.0183063,0.0178587,0.0204434,0.0467662,0.0666547,0.0932637,0.111731,0.204145,0.209132,0.166352
-1231.7,0.666667,0.0106634,1,3,1,1274.65,1.03676,1.03024,0.580198,0.135275,0.14585,0.22523,0.1352,0.935827,0.960247,0.368649,0.164108,0.592963,0.432536,1.10819e-11,8.48431e-28,7.57006e-13,0.995481,4.92417e-24,2.41197e-57,7.14193e-16,2.91186e-24,1.33936e-127,2.50302e-23,0.0045133,2.64213e-64,2.04065e-23,5.31055e-06,0.693518,1.15436,0.13231,0.200606,0.0953846,0.785977,1.07027,0.370438,0.345573,0.181757,0.604469,0.0233693,0.230855,3.30374e-15,6.56723e-12,6.52599e-23,0.0784833,4.52091e-38,1.19219e-100,1.14276e-43,8.1652e-101,3.669e-22,5.28362e-33,3.20904e-53,3.58494e-06,0.921513,6.66134e-16,0.908384,0.0916159,0.0204286,0.173389,0.0140625,0.0396573,0.11111,0.198485,0.173389,0.149878,0.11969,0.104582,0.0412758,0.0164654,0.0119762,0.0101638,0.00561828,0.00364661,0.00309212,0.00618653,0.0196237,0.0223997,0.0204286,0.0197843,0.0211724,0.0467418,0.0661842,0.0925319,0.110619,0.201417,0.206159,0.16366
-1231.57,0.941264,0.0106634,5,35,1,1256.27,1.03716,1.06778,0.548774,0.155822,0.14305,0.246982,0.132448,0.903172,0.992494,0.321202,0.155048,0.640082,0.432609,8.27813e-09,7.33828e-28,8.97777e-13,0.99596,1.60254e-25,9.87138e-58,1.07299e-29,2.8328e-24,1.80891e-129,4.13385e-19,0.00403964,2.86128e-68,2.5028e-27,1.01405e-11,0.611275,1.09209,0.136383,0.213625,0.102796,0.762882,1.1505,0.379784,0.307888,0.173219,0.595269,0.022838,0.21464,8.68322e-17,1.0245e-10,1.08935e-15,0.00263844,1.14307e-31,1.53568e-98,1.00801e-44,2.29425e-93,4.60478e-21,3.00758e-29,1.70827e-53,1.24885e-07,0.997361,9.76996e-15,0.909,0.0910001,0.00714819,0.172011,0.0141479,0.039914,0.116106,0.200995,0.172011,0.149102,0.116509,0.102081,0.0415963,0.0160432,0.0121096,0.0103704,0.00546776,0.00354756,0.000949145,0.00174907,0.0052131,0.00597485,0.00714819,0.00782564,0.0160726,0.0502256,0.0733797,0.09981,0.118676,0.215188,0.220158,0.177631
-1229.65,0.980817,0.0106634,6,97,1,1254.5,0.8531,1.11867,0.598204,0.189993,0.181564,0.218113,0.131456,0.962969,0.995487,0.265099,0.176487,0.524207,0.681229,2.45768e-26,1.73232e-18,0.000281059,0.996151,3.65812e-21,1.47056e-51,2.5644e-55,1.24446e-08,8.10365e-128,0.00356733,4.60384e-28,2.59954e-55,5.1334e-52,1.63671e-07,0.579396,0.429545,0.105033,0.532979,0.137467,0.548103,0.896843,0.527921,0.101616,0.127034,0.66459,0.0314639,0.2683,2.47478e-13,1.76224e-08,1.21309e-20,9.97898e-10,1.45279e-33,2.34102e-104,2.84561e-53,2.38335e-84,9.97558e-32,1.45489e-23,4.61474e-65,0.999995,4.49773e-06,3.01654e-17,0.883314,0.116686,0.0107489,0.173409,0.0160546,0.0376788,0.115327,0.209664,0.173409,0.144644,0.116339,0.102038,0.0392407,0.0152861,0.0117264,0.00982921,0.00581916,0.00294451,0.00207062,0.00369598,0.00567909,0.00630803,0.0107489,0.0123329,0.0213355,0.0523114,0.088689,0.0981751,0.111473,0.21667,0.209959,0.160551
