# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_point_estimate_model
# start_datetime = 2024-03-19 03:27:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.900000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/point-estimate/1D19-03-2024.00.26PE.json
# init = 2 (Default)
# random
#   seed = 0
# output
#   file = models/notebooks/results/1D19-03-2024.00.26PE-results.csv
#   diagnostic_file = models/notebooks/results/1D19-03-2024.00.26PE-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,theta.1,theta.2,y5.1,y5.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,logp_j.1,logp_j.2,logp_j.3,logp_j.4,logp_j.5,logp_j.6,logp_j.7,logp_j.8,logp_j.9,logp_j.10,logp_j.11,logp_j.12,logp_j.13,logp_j.14,sign_j.1,sign_j.2,sign_j.3,sign_j.4,sign_j.5,sign_j.6,sign_j.7,sign_j.8,sign_j.9,sign_j.10,sign_j.11,sign_j.12,sign_j.13,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14,logp_b.1,logp_b.2,logp_b.3,logp_b.4,logp_b.5,logp_b.6,logp_b.7,logp_b.8,logp_b.9,logp_b.10,logp_b.11,logp_b.12,logp_b.13,logp_b.14,sign_b.1,sign_b.2,sign_b.3,sign_b.4,sign_b.5,sign_b.6,sign_b.7,sign_b.8,sign_b.9,sign_b.10,sign_b.11,sign_b.12,sign_b.13
# Adaptation terminated
# Step size = 0.176997
# Diagonal elements of inverse mass matrix:
# 0.375285, 0.0432612, 0.0824957, 0.777062, 0.148658, 0.566789, 0.992453, 0.443963, 0.146895, 1.05665, 1.60844, 0.800994, 0.937112, 1.43108, 1.06355, 1.10013, 1.07886, 1.28478, 0.891419, 1.25162, 1.13211, 1.24389, 1.23378, 1.10405, 1.30314, 0.651886, 0.296083
-1203.76,0.982716,0.176997,4,15,0,1214.78,0.796902,1.69102,0.41891,0.260211,0.422753,0.233107,0.17438,0.40021,1.32633,0.444855,0.312522,0.207593,0.0343293,0.170142,0.104083,0.82427,0.423112,0.281843,0.73365,0.543309,0.480454,0.191826,0.118375,0.360496,0.230376,0.284964,0.892022,0.107978,0.0115056,0.22038,0.00928422,0.0205985,0.111747,0.169889,0.22038,0.144402,0.114376,0.0960736,0.0643865,0.0170914,0.0109541,0.00801405,0.00651172,0.00629197,0,0.796902,2.48792,2.90683,3.16704,2.74428,2.51118,2.3368,1.93659,0.610257,0.165402,-0.14712,-0.354713,-0.389042,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00251236,0.00297834,0.00330504,0.0075362,0.0115056,0.0152514,0.0317637,0.0546874,0.088419,0.107116,0.120577,0.172912,0.217709,0.163726,0,0.170142,0.274225,1.09849,1.52161,1.80345,2.5371,3.08041,3.56086,3.75269,3.87106,4.23156,4.46194,4.17697,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1201.79,0.980608,0.176997,4,15,0,1215,0.528173,1.307,0.742714,0.161121,0.340502,0.359498,0.0528016,0.17465,0.515572,0.558624,0.60127,0.353171,0.100596,1.04638,0.447288,0.270504,0.68068,0.775787,0.360657,0.563707,0.624093,0.605551,0.845081,0.911748,0.49336,0.811931,0.932091,0.0679091,0.00221936,0.198039,0.0128002,0.021707,0.0802087,0.168569,0.198039,0.140888,0.0983435,0.0932855,0.0783366,0.0467794,0.0267576,0.0146662,0.0103024,0.00931645,0,0.528173,1.83517,2.57788,2.739,2.3985,2.039,1.9862,1.81155,1.29598,0.737357,0.136087,-0.217084,-0.31768,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000192505,0.000548125,0.000857304,0.0011236,0.00221936,0.00482113,0.0069148,0.0121505,0.0226795,0.0415548,0.0967466,0.24077,0.394336,0.175085,0,1.04638,1.49367,1.76417,2.44485,3.22064,3.5813,4.14501,4.7691,5.37465,6.21973,7.13148,7.62484,6.81291,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1205.75,0.943347,0.176997,4,15,0,1212.83,0.277627,1.92189,0.671956,0.19319,0.500225,0.137326,0.190356,0.624623,0.569773,0.32499,0.0959041,0.627013,0.961434,0.108976,0.455547,0.205364,0.142557,0.104388,0.622177,0.314717,0.0550334,0.26799,0.191123,0.262491,0.390925,0.285902,0.880155,0.119845,0.0231578,0.220336,0.0102829,0.0135734,0.0927592,0.181628,0.220336,0.13361,0.116466,0.0962786,0.0515537,0.0291615,0.0210702,0.0191434,0.0102261,0.00390989,0,0.277627,2.19952,2.87148,3.06467,2.56444,2.42712,2.23676,1.61214,1.04236,0.717374,0.62147,-0.00554308,-0.966977,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00929883,0.0103695,0.016353,0.020081,0.0231578,0.0257059,0.0478895,0.0656025,0.0693141,0.0906166,0.109701,0.14263,0.210856,0.158424,0,0.108976,0.564523,0.769887,0.912444,1.01683,1.63901,1.95373,2.00876,2.27675,2.46787,2.73036,3.12129,2.83539,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1206.15,0.797911,0.176997,4,31,0,1221.92,0.244144,1.44686,0.709063,0.291117,0.377925,0.389959,0.0278469,0.251133,0.676788,0.87523,0.962666,0.195838,0.0855823,0.147419,0.42552,0.78685,0.171387,0.187524,0.584174,0.815069,1.07804,0.479199,0.918341,0.931468,0.26977,1.04719,0.933846,0.066154,0.00194144,0.219921,0.0149108,0.019034,0.0808897,0.164375,0.219921,0.150708,0.102042,0.0992395,0.0772002,0.0392368,0.0163526,0.00624461,0.00513397,0.00471287,0,0.244144,1.691,2.40007,2.69118,2.31326,1.9233,1.89545,1.64432,0.96753,0.0922993,-0.870367,-1.0662,-1.15179,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000419896,0.000486592,0.000744673,0.00163565,0.00194144,0.00234188,0.00420017,0.00948959,0.0278891,0.0450347,0.112818,0.286358,0.375033,0.131608,0,0.147419,0.572939,1.35979,1.53118,1.7187,2.30288,3.11794,4.19598,4.67518,5.59352,6.52499,6.79476,5.74757,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1202.76,0.95675,0.176997,4,31,0,1219.55,0.411653,1.7171,0.704247,0.18066,0.263281,0.234871,0.34662,0.596495,0.482336,0.368675,0.175923,0.913792,0.104052,0.42848,0.627524,0.283214,0.765017,0.971941,0.451613,0.360652,0.15184,0.283682,0.354991,0.35355,0.469991,0.596603,0.922479,0.0775212,0.00915602,0.207917,0.0102111,0.0154117,0.0858181,0.173552,0.207917,0.159789,0.126341,0.0893324,0.0491988,0.0303724,0.0210071,0.0176183,0.00706493,0.00636676,0,0.411653,2.12875,2.833,3.01366,2.75038,2.51551,2.16889,1.57239,1.09006,0.721383,0.545461,-0.368332,-0.472384,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00111648,0.0017137,0.00320971,0.00426053,0.00915602,0.0242,0.0380144,0.0545227,0.0634631,0.0842796,0.120197,0.171174,0.273875,0.150817,0,0.42848,1.056,1.33922,2.10423,3.07618,3.52779,3.88844,4.04028,4.32396,4.67895,5.0325,5.5025,4.90589,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1201.68,0.997438,0.176997,4,15,0,1211.79,0.962306,1.55943,0.675457,0.112442,0.399671,0.24784,0.0540759,0.309729,1.16138,0.591969,0.686967,0.0877451,0.232869,0.339052,0.454449,0.7885,0.0801247,0.193303,0.12453,0.641885,0.179919,0.849756,0.801265,0.464722,0.37616,0.715173,0.918577,0.0814225,0.00855433,0.208567,0.00761888,0.0199441,0.0948562,0.186386,0.208567,0.139853,0.109153,0.103407,0.0758642,0.0237495,0.0131391,0.00661028,0.00605498,0.0047971,0,0.962306,2.52173,3.19719,3.30963,2.90996,2.66212,2.60804,2.29831,1.13693,0.544963,-0.142003,-0.229748,-0.462618,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00162306,0.00227815,0.00358878,0.00789566,0.00855433,0.0103785,0.0117549,0.022335,0.0267377,0.0625416,0.139365,0.221809,0.323105,0.158033,0,0.339052,0.793502,1.582,1.66213,1.85543,1.97996,2.62184,2.80176,3.65152,4.45278,4.91751,5.29367,4.57849,1,1,1,1,1,1,1,1,1,1,1,1,-1
