# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_unimode2_symmetric_Dirichtlet_model
# start_datetime = 2024-03-21 19:46:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.960000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/unimode/1D21-03-2024.16.46UM.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = models/notebooks/results/1D21-03-2024.16.46UM-results.csv
#   diagnostic_file = models/notebooks/results/1D21-03-2024.16.46UM-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,w_j_mode.1,w_j_mode.2,w_j_mode.3,w_j_mode.4,w_j_mode.5,w_j_mode.6,w_j_mode.7,w_j_mode.8,w_j_mode.9,w_j_mode.10,w_j_mode.11,w_j_mode.12,w_j_mode.13,w_j_mode.14,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,w_b_mode.1,w_b_mode.2,w_b_mode.3,w_b_mode.4,w_b_mode.5,w_b_mode.6,w_b_mode.7,w_b_mode.8,w_b_mode.9,w_b_mode.10,w_b_mode.11,w_b_mode.12,w_b_mode.13,w_b_mode.14,theta.1,theta.2,y5.1,y5.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14
# Adaptation terminated
# Step size = 0.00466027
# Diagonal elements of inverse mass matrix:
# 0.13506, 0.0462296, 0.0685817, 1.09672, 0.6588, 1.31249, 0.507071, 0.992303, 0.16538, 2.03569, 1.25234, 1.39512, 1.49529, 2490.22, 3368.35, 5488.44, 2358.49, 4089.74, 3793.85, 6925.39, 8950.76, 4164.63, 3036.33, 4158.49, 5827.03, 3805.64, 1.4811, 0.530296, 0.896632, 1.13073, 1.31989, 0.810526, 0.814864, 0.635695, 1.61679, 1.12441, 0.681245, 0.874717, 0.770341, 2235.57, 7914.88, 3392.28, 7504.28, 2115.8, 2886.1, 3166.92, 3983.56, 5967.5, 5832.53, 6243.51, 1754.77, 13886, 2.20569
-1264.06,0.986063,0.00466027,7,211,1,1297.9,1.13699,0.956166,0.800502,0.0873922,0.088665,0.0132061,0.224773,0.810091,0.403207,0.00135837,0.125332,0.275334,0.415803,1.35408e-06,3.42072e-35,8.4698e-27,0.999751,1.85374e-62,1.02026e-15,9.33689e-06,3.25771e-21,2.01213e-24,0.000228493,7.16242e-11,2.04516e-13,2.93243e-18,1.01439e-05,0.532526,0.525908,0.0785366,0.848772,0.479846,0.302834,0.200351,0.0137424,0.0661432,0.0666596,0.991788,0.132899,0.327854,3.51676e-88,1.45052e-09,6.4421e-17,2.71261e-09,6.90823e-71,1.66234e-28,5.83591e-07,1.50877e-25,0.99935,5.23133e-07,3.06494e-11,6.45139e-74,2.72388e-06,0.000645982,0.898589,0.101411,0.0540494,0.152732,0.00923037,0.0287722,0.0748561,0.166679,0.152732,0.139775,0.137942,0.110178,0.0490301,0.0327825,0.032738,0.0288818,0.0219312,0.0144719,0.00741983,0.0126377,0.0213829,0.0231299,0.0540494,0.0873344,0.118224,0.144449,0.146448,0.13708,0.128245,0.0476642,0.0417623,0.0301732
-1265.03,0.979877,0.00466027,9,518,1,1288.29,1.27998,1.09017,0.795156,0.25939,0.535126,0.0235694,0.537117,0.369685,0.912307,0.00201945,0.644666,0.0356565,0.239658,1.40596e-18,6.56579e-09,5.93105e-43,0.681524,1.63704e-86,3.17069e-05,0.318187,4.66842e-52,0.000257216,6.49557e-27,1.13794e-28,9.14862e-10,6.9933e-13,2.57178e-15,0.368236,1.3439,0.0429866,0.320956,0.218812,0.315521,0.204727,0.040822,0.0318541,0.12078,0.216708,0.218927,0.35265,3.38754e-105,1.27142e-10,1.19015e-14,1.33464e-15,2.30463e-68,7.70424e-47,8.62808e-05,0.999914,5.64753e-24,1.46864e-08,6.55971e-12,6.7434e-58,1.32647e-10,4.65333e-08,0.784005,0.215995,0.0597202,0.169527,0.00843634,0.0303418,0.0902601,0.199907,0.169527,0.141673,0.141415,0.0826738,0.0571542,0.022953,0.0229067,0.0120223,0.0116012,0.00912892,0.00749015,0.0108246,0.0415014,0.0433243,0.0597202,0.0743276,0.101901,0.125047,0.120045,0.116282,0.103052,0.0829741,0.0666598,0.04685
-1269.35,0.871722,0.00466027,8,282,1,1293.47,1.76401,1.20518,0.630079,0.680314,0.0841142,0.0158802,0.354154,1.11794,1.21571,0.00495057,0.172226,0.0964722,0.134799,1.58318e-16,2.08931e-09,5.01048e-23,0.989715,8.33697e-105,0.00828484,0.00199896,6.02999e-27,1.01855e-23,1.01108e-15,1.49426e-06,1.53772e-45,3.78437e-34,1.91848e-14,0.771738,0.992283,0.151404,1.12995,0.218183,0.149997,0.264416,0.028194,0.0547322,0.0535972,0.152851,0.339902,0.151983,1.23694e-101,5.297e-07,2.1585e-21,6.79401e-08,2.70831e-86,1.67172e-64,0.823983,1.71304e-25,1.63308e-10,0.00512218,0.0140023,1.5865e-16,0.149541,0.00735117,0.598483,0.401517,0.0865482,0.137056,0.00732249,0.0427325,0.142614,0.267795,0.137056,0.126323,0.124345,0.0872614,0.0285303,0.00845952,0.00841775,0.00708597,0.00643431,0.00562289,0.00411793,0.00890923,0.0240312,0.0279594,0.0865482,0.10765,0.125071,0.102521,0.100565,0.0969942,0.0937095,0.0852392,0.0733374,0.0633472
-1267.67,0.968395,0.00466027,5,54,1,1296.91,1.77196,1.20518,0.629325,0.675531,0.0839599,0.0156491,0.348364,1.09033,1.19738,0.00474501,0.167044,0.0987539,0.132893,1.41615e-16,2.07986e-09,9.01763e-23,0.936024,3.80763e-104,0.0568026,0.007171,7.96224e-26,9.87823e-24,1.85942e-15,2.673e-06,2.77744e-43,3.56406e-32,3.75166e-13,0.795664,0.989829,0.148417,1.09276,0.216966,0.151315,0.269835,0.0280446,0.0543473,0.055484,0.153572,0.341582,0.148741,1.52304e-101,2.42981e-06,1.94502e-21,1.07494e-07,5.63505e-87,2.70478e-64,0.930525,8.99347e-26,5.31781e-11,0.0037637,0.000353199,2.53852e-16,0.0449502,0.0204058,0.59344,0.40656,0.0915306,0.13951,0.00697226,0.0410135,0.136877,0.256829,0.13951,0.130274,0.128296,0.0905568,0.0304367,0.00919188,0.00914837,0.00774101,0.00701308,0.00614037,0.00443752,0.00983315,0.0264567,0.0306896,0.0915306,0.113709,0.132284,0.103542,0.101021,0.0963589,0.09184,0.0807534,0.0626225,0.0549215
-1272.65,0.965003,0.00466027,8,281,1,1296.53,2.09724,1.08732,0.625158,0.933032,0.0990715,0.0229099,0.717782,0.816883,0.983347,0.00528625,0.185603,0.0770177,0.156908,3.95008e-13,1.77491e-10,1.1578e-19,0.618359,9.34275e-104,2.90011e-08,0.381641,2.12304e-38,2.57875e-28,6.45081e-22,2.02929e-07,5.10614e-33,4.42501e-39,4.25223e-10,1.4206,1.04817,0.125689,0.607077,0.174311,0.162989,0.24006,0.0175635,0.0726862,0.0308324,0.100595,0.456661,0.139357,1.0588e-98,1.5265e-06,1.87855e-28,1.04288e-15,5.41561e-80,1.17088e-57,0.963215,3.04582e-23,4.18084e-25,8.41116e-08,0.036742,1.33037e-26,1.83435e-05,2.30236e-05,0.68321,0.31679,0.0904262,0.150882,0.00493413,0.0401819,0.119192,0.222715,0.150882,0.151507,0.151863,0.074084,0.0327308,0.0122432,0.0121787,0.0101156,0.0093658,0.00800572,0.00368041,0.0152355,0.043457,0.0492771,0.0904262,0.107646,0.126702,0.101188,0.0995674,0.0931802,0.0906215,0.0819497,0.0519105,0.0451589
-1268.49,0.992496,0.00466027,8,347,1,1290.79,1.62565,1.13284,0.665638,0.908307,0.114769,0.0186467,0.524501,0.692692,1.0338,0.00360704,0.176682,0.0731104,0.178167,7.32416e-11,6.34161e-05,8.41419e-24,0.589044,1.80965e-105,0.410889,3.58739e-06,8.45764e-66,4.97179e-32,1.26971e-25,9.26484e-21,3.04038e-33,5.36356e-38,1.27954e-19,0.663835,0.666954,0.112572,0.420874,0.296842,0.213215,0.15933,0.0182867,0.0809113,0.085562,0.114345,0.319501,0.256453,3.44755e-106,4.74364e-17,4.74004e-26,1.80911e-25,8.28153e-88,6.69466e-56,0.999912,2.30684e-22,2.03454e-33,6.67097e-05,1.12387e-06,1.10301e-29,2.02863e-05,8.48932e-10,0.650296,0.349704,0.0746191,0.148314,0.00682564,0.034686,0.10759,0.209327,0.148314,0.14979,0.147022,0.0870153,0.0435275,0.0154807,0.0154249,0.0129268,0.0120154,0.0100546,0.0115671,0.0224658,0.0437701,0.0489854,0.0746191,0.100408,0.12427,0.105969,0.104049,0.0959636,0.0880945,0.0785764,0.0570882,0.0441743
